Date,AAPL,JNJ,JPM,MSFT,PG,XOM
2022-06-06,143.53024291992188,158.92144775390625,117.8392562866211,261.1825256347656,131.9711456298828,87.5890884399414
2022-06-07,146.0543975830078,160.6692657470703,118.14808654785156,264.8269348144531,133.44235229492188,91.60343170166016
2022-06-08,145.31776428222656,159.7142791748047,116.267822265625,262.7957763671875,131.7804412841797,92.68455505371094
2022-06-09,140.09275817871094,156.49801635742188,113.82435607910156,257.333984375,129.40109252929688,90.68183135986328
2022-06-10,134.68118286132812,155.4529571533203,108.59232330322266,245.8662872314453,128.9106903076172,89.02468872070312
2022-06-13,129.52491760253906,153.88534545898438,105.35860443115234,235.43838500976562,125.45976257324219,84.93944549560547
2022-06-14,130.38922119140625,151.5249786376953,103.60550689697266,237.60560607910156,121.54566955566406,85.16098022460938
2022-06-15,133.0115203857422,153.1466522216797,104.831787109375,244.6708984375,120.33782196044922,84.08870697021484
2022-06-16,127.7374267578125,153.22767639160156,103.03326416015625,238.0720977783203,121.0734634399414,80.98712921142578
2022-06-17,129.21063232421875,152.6691436767578,102.66993713378906,240.67665100097656,120.20162963867188,76.31700134277344
2022-06-21,133.44366455078125,155.86737060546875,105.21328735351562,246.5951690673828,123.84325408935547,81.0668716430664
2022-06-22,132.93295288085938,158.32691955566406,104.62286376953125,246.0023193359375,125.7776107788086,77.85892486572266
2022-06-23,135.8008270263672,161.8584442138672,103.47834777832031,251.57093811035156,129.2285614013672,75.51057434082031
2022-06-24,139.13026428222656,164.2278289794922,106.56671905517578,260.1620788574219,131.0902557373047,77.00820922851562
2022-06-27,139.13026428222656,164.0746612548828,105.71286010742188,257.43121337890625,130.09130859375,78.89574432373047
2022-06-28,134.98561096191406,159.40797424316406,105.20419311523438,249.25799560546875,127.9753189086914,81.0845947265625
2022-06-29,136.74363708496094,159.45298767089844,104.73187255859375,252.9315185546875,129.1377410888672,78.08935546875
2022-06-30,134.27850341796875,159.92147827148438,102.2884292602539,249.59812927246094,130.58164978027344,75.8916244506836
2022-07-01,136.4490203857422,161.7323455810547,103.59644317626953,252.27072143554688,132.68856811523438,77.58423614501953
2022-07-05,139.0320587158203,160.4890899658203,103.202392578125,255.44862365722656,131.40809631347656,75.15611267089844
2022-07-06,140.3677520751953,160.6332244873047,102.53343963623047,258.7140197753906,132.63409423828125,73.8002700805664
2022-07-07,143.7365264892578,160.8134002685547,105.12679290771484,260.8423156738281,132.58868408203125,76.15750122070312
2022-07-08,144.41415405273438,160.6151885986328,104.7968978881836,260.12322998046875,131.69873046875,76.28154754638672
2022-07-11,142.282958984375,160.67825317382812,103.42232513427734,257.0619201660156,132.62503051757812,75.8916244506836
2022-07-12,143.25526428222656,158.4259490966797,103.52311706542969,246.5271453857422,131.4535369873047,74.88140869140625
2022-07-13,142.89187622070312,158.0565948486328,102.55176544189453,245.6038818359375,132.31625366210938,75.18270111083984
2022-07-14,145.8186492919922,158.27279663085938,98.96873474121094,246.92556762695312,131.9257354736328,73.67621612548828
2022-07-15,147.48828125,160.57017517089844,103.50480651855469,249.49124145507812,131.7440948486328,74.91686248779297
2022-07-18,144.4436798095703,156.96649169921875,102.4417953491211,247.09078979492188,130.1457977294922,76.29927825927734
2022-07-19,148.303466796875,154.6781768798828,104.98016357421875,252.22210693359375,130.80873107910156,78.22225189208984
2022-07-20,150.30703735351562,153.79527282714844,104.96183776855469,254.8849639892578,128.5474395751953,79.08184051513672
2022-07-21,152.57582092285156,154.33578491210938,105.67662811279297,257.382568359375,128.66900634765625,77.76146697998047
2022-07-22,151.3383026123047,155.06556701660156,105.1634521484375,253.0286865234375,130.72561645507812,77.167724609375
2022-07-25,150.2186279296875,155.3719024658203,105.58497619628906,251.5418243408203,131.61224365234375,79.73764038085938
2022-07-26,148.8927459716797,156.4709930419922,103.93550109863281,244.8069610595703,131.8681640625,79.42745971679688
2022-07-27,153.9900665283203,156.0385284423828,105.6032943725586,261.1726989746094,133.12037658691406,81.14661407470703
2022-07-28,154.5400848388672,156.939453125,105.20924377441406,268.6268005371094,135.3323516845703,82.09483337402344
2022-07-29,159.60792541503906,157.227783203125,105.71327209472656,272.83489990234375,126.96893310546875,85.8965072631836
2022-08-01,158.62576293945312,156.67820739746094,104.65943908691406,270.1817321777344,130.6159210205078,83.72538757324219
2022-08-02,157.1525421142578,155.7863006591797,103.0282974243164,267.0815734863281,129.74755859375,83.36206817626953
2022-08-03,163.1632843017578,157.2908172607422,104.10961151123047,274.51617431640625,132.42572021484375,80.65923309326172
2022-08-04,162.84902954101562,154.7682342529297,102.96416473388672,275.6629638671875,132.21546936035156,77.26519775390625
2022-08-05,162.62278747558594,154.15562438964844,106.07982635498047,274.94378662109375,132.27943420410156,78.38176727294922
2022-08-08,162.15069580078125,153.3358154296875,104.7877197265625,272.4267272949219,132.78216552734375,78.8248519897461
2022-08-09,162.19985961914062,153.31777954101562,105.73160552978516,274.3509521484375,132.4713897705078,80.27818298339844
2022-08-10,166.44863891601562,153.75926208496094,108.4898910522461,281.017822265625,133.72361755371094,81.04029083251953
2022-08-11,165.71099853515625,150.5789794921875,110.09354400634766,278.9380187988281,132.7730255126953,83.3846206665039
2022-08-12,169.261474609375,148.92127990722656,111.9171371459961,283.6903381347656,134.0618438720703,84.109375
2022-08-15,170.33346557617188,149.63302612304688,112.21954345703125,285.2064208984375,135.78933715820312,82.60614776611328
2022-08-16,170.17611694335938,150.9663848876953,113.29170989990234,284.46783447265625,137.04159545898438,81.8366470336914
2022-08-17,171.67108154296875,150.9754180908203,112.33867645263672,283.71795654296875,136.4109344482422,82.49877166748047
2022-08-18,171.27764892578125,150.24563598632812,111.46812438964844,282.59796142578125,136.8953399658203,84.44940185546875
2022-08-19,168.69102478027344,152.5340118408203,108.70983123779297,278.6828308105469,136.85879516601562,84.18096923828125
2022-08-22,164.80616760253906,151.99888610839844,106.91372680664062,270.5020446777344,136.4931640625,84.11833190917969
2022-08-23,164.4718017578125,150.67469787597656,105.8598861694336,269.22625732421875,133.8607177734375,87.68851470947266
2022-08-24,164.766845703125,150.1758575439453,106.11647033691406,268.59320068359375,133.28488159179688,88.20746612548828
2022-08-25,167.2255859375,151.5816650390625,108.63651275634766,271.5732727050781,133.17520141601562,88.663818359375
2022-08-26,160.92135620117188,148.98773193359375,105.08097076416016,261.0941467285156,130.05831909179688,87.57218933105469
2022-08-29,158.71826171875,147.8358917236328,104.82438659667969,258.3087158203125,129.50991821289062,89.58544921875
2022-08-30,156.2890167236328,147.3188934326172,104.84271240234375,256.1078186035156,128.1297149658203,86.17633056640625
2022-08-31,154.62689208984375,146.3302764892578,104.21957397460938,254.64683532714844,126.08230590820312,85.5320816040039
2022-09-01,155.35467529296875,149.95819091796875,104.93435668945312,253.60476684570312,127.63617706298828,83.99307250976562
2022-09-02,153.2401580810547,147.60011291503906,104.20124816894531,249.37802124023438,125.36933135986328,85.5320816040039
2022-09-06,151.98126220703125,147.9991455078125,104.22874450683594,246.64137268066406,123.97086334228516,84.95942687988281
2022-09-07,153.38768005371094,148.8063507080078,106.20811462402344,251.35504150390625,125.8446273803711,84.23464965820312
2022-09-08,151.91241455078125,150.0035400390625,108.68232727050781,251.77381896972656,126.0091781616211,84.92365264892578
2022-09-09,154.77439880371094,150.2937774658203,109.20465850830078,257.558837890625,127.92867279052734,86.34634399414062
2022-09-12,160.73446655273438,150.23028564453125,110.49677276611328,259.69171142578125,128.97064208984375,87.33954620361328
2022-09-13,151.3026580810547,146.32125854492188,106.65714263916016,245.41427612304688,126.3016357421875,85.29944610595703
2022-09-14,152.74838256835938,149.34146118164062,106.40972137451172,245.63824462890625,126.603271484375,87.39322662353516
2022-09-15,149.8568878173828,149.72238159179688,108.01339721679688,238.97677612304688,125.62528991699219,84.85206604003906
2022-09-16,148.21441650390625,152.00794982910156,107.28943634033203,238.35345458984375,126.39308166503906,83.40249633789062
2022-09-19,151.93206787109375,150.81077575683594,108.27912902832031,238.13922119140625,126.12799072265625,83.3935546875
2022-09-20,154.3121795654297,149.62265014648438,106.14396667480469,236.1232147216797,125.68012237548828,82.71353149414062
2022-09-21,151.1846160888672,148.08982849121094,103.08325958251953,232.71450805664062,124.062255859375,81.38030242919922
2022-09-22,150.22076416015625,150.72006225585938,101.91029357910156,234.69154357910156,124.50102996826172,81.04029083251953
2022-09-23,147.9488983154297,151.20977783203125,100.0134048461914,231.7113800048828,123.92512512207031,76.72745513916016
2022-09-26,148.2832794189453,150.28469848632812,97.85991668701172,231.2537078857422,124.04399871826172,75.14368438720703
2022-09-27,149.25694274902344,149.59539794921875,96.99852752685547,230.24082946777344,120.63463592529297,76.71849822998047
2022-09-28,147.36865234375,150.88330078125,98.95955657958984,234.77919006347656,120.63463592529297,79.51021575927734
2022-09-29,140.12997436523438,149.2235870361328,97.28260803222656,231.3023681640625,117.63658142089844,79.34915924072266
2022-09-30,135.92062377929688,148.16238403320312,95.76140594482422,226.8223876953125,115.3971939086914,78.12329864501953
2022-10-03,140.10049438476562,148.01730346679688,98.7213134765625,234.45785522460938,117.46292877197266,82.24824523925781
2022-10-04,143.69033813476562,150.21217346191406,103.33985137939453,242.3854217529297,118.91622161865234,85.2457504272461
2022-10-05,143.98532104492188,149.7495880126953,102.06393432617188,242.69705200195312,118.09358978271484,88.69066619873047
2022-10-06,143.03131103515625,146.84730529785156,99.98365783691406,240.3499755859375,115.60742950439453,91.32131958007812
2022-10-07,137.77938842773438,145.29637145996094,97.986572265625,228.12744140625,113.58740234375,90.39968872070312
2022-10-10,138.10397338867188,145.48684692382812,97.07123565673828,223.26766967773438,113.12124633789062,88.44012451171875
2022-10-11,136.687744140625,147.59100341796875,94.26976013183594,219.52786254882812,113.55085754394531,87.68851470947266
2022-10-12,136.05828857421875,147.55470275878906,95.79530334472656,219.85899353027344,113.733642578125,88.07327270507812
2022-10-13,140.631591796875,149.78585815429688,101.12088775634766,228.12744140625,115.45201873779297,91.15130615234375
2022-10-14,136.0976104736328,149.16006469726562,102.80359649658203,222.59567260742188,114.32776641845703,88.7532958984375
2022-10-17,140.0611572265625,151.09188842773438,107.12139129638672,231.33157348632812,116.39349365234375,90.03282928466797
2022-10-18,141.37905883789062,150.56585693359375,109.87660217285156,232.27630615234375,117.33492279052734,90.19390106201172
2022-10-19,141.48724365234375,149.36866760253906,107.72235870361328,230.3090057373047,118.42266082763672,92.86929321289062
2022-10-20,141.02500915527344,149.7495880126953,107.3709945678711,229.98760986328125,116.8973388671875,92.99457550048828
2022-10-21,144.8409881591797,153.01470947265625,113.01092529296875,235.8018341064453,118.36099243164062,94.72149658203125
2022-10-24,146.9850311279297,155.07347106933594,113.14961242675781,240.7979736328125,119.08821105957031,95.38362884521484
2022-10-25,149.82742309570312,154.82864379882812,113.4454574584961,244.11892700195312,120.45977020263672,94.7393798828125
2022-10-26,146.88670349121094,156.18910217285156,114.74913787841797,225.28366088867188,121.306640625,95.86680603027344
2022-10-27,142.41172790527344,156.27976989746094,115.2021713256836,220.83290100097656,121.39871978759766,96.2336654663086
2022-10-28,153.17132568359375,158.60159301757812,116.57054901123047,229.7149200439453,124.47327423095703,99.05223083496094
2022-10-31,150.8108673095703,157.78533935546875,116.38561248779297,226.072509765625,123.96698760986328,99.1506576538086
